product,original_price,selling_price,category,source,rating,main_category,discount,price_range
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",Flipkart,,Tools & Hardware,30.792917628945343,Economy
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]",Flipkart,,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER",44.54939437715302,Premium
Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,"[""Behringer Xenyx 502 Analog Sound Mixer""]",Flipkart,,"[""Behringer Xenyx 502 Analog Sound Mixer""]",34.0,Luxury
Roadster Men's Zipper Solid Cardigan,1399.0,699.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",Flipkart,,Clothing,50.03573981415297,Economy
Noor Embroidered Women's Straight Kurta,1649.0,849.0,"[""Noor Embroidered Women's Straight Kurta""]",Flipkart,,"[""Noor Embroidered Women's Straight Kurta""]",48.51425106124924,Economy
Libas Printed Women's A-line Kurta,899.0,449.0,"[""Libas Printed Women's A-line Kurta""]",Flipkart,,"[""Libas Printed Women's A-line Kurta""]",50.055617352614014,Budget
Libas Printed Women's Anarkali Kurta,1849.0,924.0,"[""Libas Printed Women's Anarkali Kurta""]",Flipkart,,"[""Libas Printed Women's Anarkali Kurta""]",50.02704164413196,Economy
HRS ULTIMATE BOY Chest Pads,440.0,395.0,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED)""]",Flipkart,,Sports & Fitness,10.227272727272728,Budget
Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,"[""Bags, Wallets & Belts >> Belts >> Vermello Belts >> Vermello Men Casual Brown Genuine Leather Belt (...""]",Flipkart,,"Bags, Wallets & Belts",46.82274247491639,Economy
HRS CLUB BOY Thigh Pads,280.0,250.0,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED)""]",Flipkart,,Sports & Fitness,10.714285714285714,Budget
Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,"[""Bags, Wallets & Belts >> Belts >> Ligans NY Belts >> Ligans NY Men Formal Black Genuine Leather Belt ...""]",Flipkart,,"Bags, Wallets & Belts",12.578616352201259,Economy
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,"[""Home Furnishing >> Curtains & Accessories >> Curtains >> Elegance Polyester Multicolor Abstract Eyelet Do...""]",Flipkart,,Home Furnishing,52.6592943654555,Economy
Liza Women Wedges,1990.0,1393.0,"[""Footwear >> Women's Footwear >> Wedges >> Liza Women Wedges""]",Flipkart,,Footwear,30.0,Mid-Range
HRS ULTIMATE BOY Elbow Pads,250.0,230.0,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED)""]",Flipkart,,Sports & Fitness,8.0,Budget
Sathiyas Cotton Bath Towel,600.0,449.0,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Sathiyas Baby Bath Towels >> Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y...""]",Flipkart,,Baby Care,25.166666666666664,Budget
HRS ULTIMATE MEN Chest Pads,440.0,395.0,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE MEN Chest Pads (WHITE, RIGHT-HANDED)""]",Flipkart,,Sports & Fitness,10.227272727272728,Budget
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,"[""Home Furnishing >> Bed Linen >> Bedsheets >> SANTOSH ROYAL FASHION Bedsheets >> SANTOSH ROYAL FASHION Cotton Printed King sized ...""]",Flipkart,,Home Furnishing,51.87106335679882,Mid-Range
CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Body Panels >> CASEDEAL Mobile Body Panels >> CASEDEAL Microsoft Nokia lumia x2 Back Panel (Wh...""]",Flipkart,,Mobiles & Accessories,80.99049524762381,Budget
Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Mario Gotze Shirts >> Mario Gotze Women's Printed Casual Orange Shirt""]",Flipkart,,Clothing,40.0266844563042,Economy
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",Flipkart,,Home Furnishing,73.14351673720661,Economy
Shilpi NHSCN003 Coin Bank,900.0,650.0,"[""Pens & Stationery >> College Supplies >> Coin Banks >> Shilpi Coin Banks >> Shilpi NHSCN003 Coin Bank (Brown)""]",Flipkart,,Pens & Stationery,27.77777777777778,Economy
Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,"[""Baby Care >> Infant Wear >> Baby Boys' Clothes >> Combo Sets >> Babeezworld Combo Sets >> Babeezworld Dungaree Baby Boy's  Combo""]",Flipkart,,Baby Care,50.050050050050054,Budget
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",Flipkart,,Home Decor & Festive Needs,25.0,Mid-Range
"Proence Weight Gainers, Mass Gainers",1025.0,949.0,"[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]",Flipkart,,Food & Nutrition,7.414634146341463,Economy
Discountgod Men's Checkered Casual Shirt,750.0,590.0,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Discountgod Casual & Party Wear Shirts""]",Flipkart,,Clothing,21.333333333333336,Economy
Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Silver Streak Casual & Party Wear Shirts""]",Flipkart,,Clothing,53.88760585065435,Economy
